uid,region,severity,density
apec,west,4,5529302.0
apej,south,1,11618.0
apiz,south,1,145.0
aplj,south,1,1525.0
apnm,south,1,376.0
apnz,midwest,2,83475.0
apoh,south,1,968.0
apoq,west,4,4992500.0
apou,west,4,5110000.0
apph,south,2,60996.0
apqc,south,1,8875.0
apre,south,1,6172.0
aprj,south,1,3776.0
apry,midwest,3,324325.0
apsd,south,1,436.0
apsf,midwest,3,269325.0
apsn,south,1,6632.0
apsz,west,4,5982500.0
apuh,south,1,254.0
apuu,midwest,3,330996.0
apux,west,4,1522330.0
apuy,south,3,135788.0
apva,south,1,1598.0
apwb,south,2,62932.0
apwn,south,3,120176.0
apwq,northeast,1,9266.4
apyv,west,4,6607500.0
apzy,south,1,1130.0
aqae,south,1,290.0
aqaf,midwest,3,182070.0
aqbh,midwest,3,210420.0
aqdc,south,1,2541.0
aqdr,northeast,4,1666667.0
aqee,northeast,1,1840.0
aqef,south,1,17790.0
aqfl,south,2,22472.0
aqgh,south,1,1670.0
aqhq,south,1,8937.0
aqhw,south,2,21037.0
aqis,south,1,12344.0
aqjj,northeast,1,5896.8
aqjx,south,1,17935.0
aqkm,south,1,1867.0
aqky,northeast,3,185933.0
aqlc,south,2,57607.0
aqmm,south,3,330538.0
aqnu,south,1,2759.0
aqny,south,4,2114517.0
aqoo,south,1,17750.0
aqov,south,1,14873.0
aqox,midwest,1,11970.0
aqpf,south,1,1162.0
aqqb,west,4,3875000.0
aqqh,northeast,1,0.0
aqqs,west,4,4161572.0
aqqv,south,3,172180.0
aqrc,south,1,18880.0
aqri,northeast,1,13867.0
aqrr,midwest,1,144.80259920106525
aqsg,midwest,1,15157.0
aqta,south,3,199446.0
aqte,northeast,3,321333.0
aqtr,south,1,6493.0
aqut,northeast,3,463449.4791666666
aqve,south,1,2541.0
aqxo,south,1,2463.0
aqzg,south,1,125.0
arcd,south,3,194242.0
ardi,northeast,3,159333.0
argk,west,4,2370497.0
argt,west,4,4321140.5
arjl,west,4,5612500.0
arka,south,2,21300.0
arkx,west,5,20812004.092490274
armb,south,1,1598.0
arnp,south,1,1670.0
aroo,south,2,65353.0
arpl,west,4,5480000.0
arqh,south,2,25207.0
arqj,south,1,9141.0
arqn,south,1,2488.0
arro,south,4,1660161.0
artv,south,1,18484.0
arur,south,1,7338.0
arus,south,2,51754.0
arwu,west,4,1614989.0
arwv,west,3,852968.0
arxu,northeast,3,980000.0
aryw,south,1,13555.0
asau,south,1,5809.0
asbi,south,1,36.0
ascv,south,2,36649.0
ascy,south,1,654.0
asdo,midwest,1,3991.0
aseg,south,1,193.0
aseq,west,4,1504268.0
asgj,midwest,3,788319.0
asgp,northeast,1,1120.9826589595375
asgu,west,4,5970000.0
asgz,west,4,3077157.5
ashi,south,3,116182.0
ashp,west,4,2406318.5
asif,south,2,57510.0
asin,west,4,5462500.0
askb,northeast,2,67485.40145985401
asmb,midwest,3,211050.0
asoc,west,4,6255000.0
asoh,west,4,1584539.9975
asos,west,4,1331673.5
aspl,south,1,14523.0
asrm,south,2,86653.0
assf,south,1,15768.0
assg,south,2,25818.0
assj,west,4,1390010.0
assl,west,4,2767790.0
astc,south,1,654.0
asvj,south,1,399.0
asxw,west,4,4005260.0
aszq,south,1,182.0
atab,midwest,1,6300.0
ataj,midwest,3,193328.0
atbu,south,2,29815.0
atdz,south,1,16256.0
atia,west,4,1185131.0
atle,west,4,1973204.0
atma,west,4,5787500.0
atmh,midwest,3,624000.0
atnl,south,1,5386.0
atnq,west,4,4912500.0
atnr,south,1,6051.0
atog,south,3,132860.0
atqn,south,1,1987.0
atsh,west,4,1136283.5
atue,west,4,4917080.0
atvb,south,1,1409.0
atvc,south,3,553802.0
atve,south,1,3169.0
atxa,south,1,19485.0
aucl,south,1,79.0
auco,northeast,1,9672.048192771084
audd,west,4,4892500.0
audj,south,1,5635.0
aufi,south,1,125.0
aufq,south,1,9004.0
aufv,south,2,20200.0
aumk,south,1,132.0
auoy,south,3,161929.0
auqm,west,4,2328162.5
aurz,south,1,581.0
auty,south,1,2334.0
auuv,south,2,33006.0
auvo,west,4,6880000.0
auvw,west,4,5082500.0
auvz,south,2,30316.0
auwg,south,1,3600.0
avap,south,2,48409.0
avas,northeast,3,121539.89795918368
avbb,west,3,895302.5
avdo,west,4,5397500.0
avem,midwest,3,586220.0
avfl,south,1,5385.0
avhu,south,1,18153.0
avib,south,2,88921.0
avil,south,3,515558.0
avkl,west,4,4827500.0
avkn,south,2,42661.0
avkx,south,1,3195.0
avmy,south,1,398.0
avnf,south,1,73.0
avni,south,1,508.0
avnv,south,2,52697.0
avot,midwest,3,192780.0
avpm,midwest,3,259496.0
avrd,west,4,5115000.0
avrn,south,1,917.0
avro,south,4,1052902.0
avup,west,4,4477452.5
avvp,south,4,1301609.0
avwf,south,1,73.0
avxe,south,1,9110.0
avxh,west,4,4905000.0
avxm,midwest,3,177030.0
avxu,midwest,2,38115.0
avys,south,2,94266.0
avzx,south,2,24205.0
awab,south,2,21687.0
awcd,west,4,6897500.0
awco,south,3,413415.0
awdc,south,1,5281.0
awde,south,1,250.0
awdn,west,4,5472500.0
awen,south,1,1291.0
awfl,west,4,2416088.0
awhc,south,2,30788.0
awig,west,4,6925000.0
awis,south,2,62811.0
awjf,south,1,379.0
awmf,west,3,403571.0
awnc,south,3,166963.0
awoe,south,1,7859.0
awog,south,3,132319.0
awoh,south,2,86683.0
awpd,west,4,1946686.6675
awqn,south,2,31950.0
awqw,south,1,7261.0
awri,south,2,37674.0
awul,south,1,2420.0
awuz,west,4,2490000.0
awvk,south,3,140664.0
awvt,south,2,41393.0
awxg,south,1,8948.0
axaz,midwest,2,82215.0
axbl,south,1,3994.0
axci,south,1,2890.0
axct,south,1,1687.0
axdf,west,4,6053598.5
axeb,south,1,4115.0
axgi,midwest,3,508684.0
axhw,south,1,17427.0
axkq,northeast,1,19689.797794117647
axml,south,1,5921.0
axmp,south,1,5083.0
axni,west,4,7010000.0
axnl,south,1,8372.0
axoz,west,4,7185000.0
axpt,south,3,317312.0
axqb,south,1,160.0
axqr,south,1,15975.0
axtg,west,3,247259.0
axvq,midwest,3,392175.0
axwb,south,1,16701.0
axyl,south,3,250082.0
axyt,west,4,6040000.0
axyv,midwest,2,90882.0
axzm,south,1,1452.0
ayam,northeast,3,173333.0
aydg,west,3,712938.5
aydk,south,1,1252.0
ayef,northeast,1,1297.7260887949255
ayew,south,1,581.0
ayfj,west,4,3741483.5
ayfy,south,1,218.0
aygz,south,1,290.0
ayhg,south,2,22591.0
ayin,northeast,1,17190.849242922977
ayiz,northeast,1,5067.0
ayle,south,1,436.0
aymx,midwest,4,8754384.0
ayne,south,1,944.0
aynw,south,1,2641.0
ayrn,south,3,167012.0
ayrq,northeast,1,0.0
ayrx,northeast,1,6949.8
aysa,south,2,44850.0
aysm,south,3,142416.0
aysq,west,4,5957500.0
aysy,south,1,198.0
aytj,midwest,1,160.4109650349648
ayuc,south,1,2582.0
ayvj,west,4,1898304.5
ayze,northeast,1,17133.0
ayzf,south,1,391.0
ayzo,south,1,10562.0
azba,south,1,9004.0
azcy,south,2,77638.0
azde,midwest,3,608429.0
azef,south,2,81328.0
azet,west,4,5695000.0
azfb,west,4,2252053.33
azfm,south,1,10166.0
azhl,south,1,484.0
azis,west,4,1882022.0
azkl,west,4,6050000.0
azkq,south,1,18880.0
azlk,south,2,56872.0
azly,south,2,21784.0
azmc,west,4,6162500.0
azni,south,1,7000.0
aznr,west,4,5040000.0
azoa,west,4,3253008.5
azoe,west,2,45326.8
azqj,west,4,5402500.0
azql,northeast,3,311067.0
azsd,west,4,1217696.0
azsz,west,4,5757500.0
aztk,south,3,152489.0
azub,south,3,243402.0
azvc,west,4,2096951.0
azwk,south,1,14523.0
azwx,south,1,83.0
azxt,south,2,77455.0
azyt,south,1,3961.0
baav,south,2,69709.0
babh,south,2,81332.0
bacc,south,1,3031.0
baeh,west,4,6405000.0
baen,south,2,56016.0
bagu,south,1,6172.0
bajg,west,2,23916.0
baky,west,4,2635186.5
bals,south,1,376.0
bane,midwest,1,1059.7858264462811
banm,northeast,2,22610.0
baoj,south,1,2011.0
baop,south,2,58353.0
baos,south,1,10644.0
bapc,west,4,6822500.0
bapf,midwest,2,27090.0
basj,south,1,3101.0
basy,south,1,8307.0
bato,midwest,1,17921.0
bavj,south,1,1196.0
bavo,northeast,1,13161.836734693878
bawe,south,2,44698.0
baxo,south,1,9242.0
bayk,south,1,1634.0
bazp,south,3,334750.0
bbah,west,4,1982973.5
bbbc,south,1,17093.0
bbbm,northeast,1,3800.0
bbbp,midwest,3,117329.6
bbct,midwest,1,6930.0
bbcy,midwest,3,483840.0
bbed,south,2,31556.0
bbfo,south,2,72629.0
bbgg,south,1,14087.0
bbig,northeast,2,33067.0
bbio,south,1,16597.0
bbip,south,1,937.0
bblz,south,1,4448.0
bbmf,west,2,24382.0
bbms,midwest,3,112770.0
bbov,south,2,85684.0
bbri,midwest,3,254520.0
bbrr,south,1,1452.0
bbsi,west,1,2758.218099491864
bbue,northeast,1,6254.348616600796
bbur,midwest,2,41360.0
bbut,south,2,22075.0
bbvf,south,1,2376.0
bbvs,west,4,5445000.0
bbwo,south,2,22389.0
bbws,south,2,29046.0
bbzd,south,2,73582.0
bbzs,south,3,276901.0
bccc,south,2,20332.0
bcds,south,3,629147.0
bcfd,west,3,726500.0
bcju,midwest,1,1203.422751091703
bcjw,south,2,22111.0
bcng,south,3,383000.0
bcnm,south,1,11203.0
bcpr,south,3,187551.0
bcpw,south,2,93914.0
bcrk,west,4,4529556.5
bcrx,south,3,224620.0
bcsi,midwest,3,340307.0
bctg,south,2,33886.0
bcwb,south,1,2905.0
bcxx,west,4,2885539.9975
bdbv,midwest,1,302.451904
bdbx,west,4,6347500.0
bddt,south,1,929.0
bdee,south,1,6172.0
bdey,south,1,1126.0
bdhx,south,3,170401.0
bdis,west,4,5386016.0
bdix,south,1,11618.0
bdjp,south,1,7261.0
bdma,midwest,3,216203.0
bdmq,south,1,2905.0
bdob,midwest,1,4723.0
bdoh,northeast,1,16.45985401459854
bduj,south,1,10435.0
bdvi,northeast,3,548267.0
bdws,west,4,6802500.0
bdxj,midwest,3,567630.0
bdxv,south,1,415.0
bdxz,south,1,10166.0
bdyp,south,1,3861.0
bdzr,south,3,147406.0
bebd,south,1,2868.0
becq,south,1,11183.0
bedw,south,1,3961.0
begh,south,1,3268.0
begp,south,1,110.0
begy,south,1,6644.0
beiw,northeast,1,15634.666666666668
beko,south,3,415715.0
belt,south,1,6622.0
bema,west,4,3047366.5
bemf,south,2,21784.0
bemv,south,2,21629.0
benw,northeast,1,14277.831632653062
beom,midwest,2,45467.0
beqd,south,1,8714.0
berb,south,3,308367.0
besc,south,1,4357.0
besx,south,1,1263.0
beta,south,1,3358.0
bete,south,1,436.0
beuj,west,4,3096696.5
bewh,west,4,1390290.5
bexa,south,1,3227.0
beyu,south,1,8810.0
bezh,south,2,85420.0
bezn,west,4,4660000.0
bfag,south,4,1053300.0
bfan,midwest,2,43785.0
bfay,south,1,5083.0
bfbd,south,1,1245.0
bfbn,midwest,2,80552.0
bfcn,south,1,3340.0
bffy,south,2,20036.0
bffz,midwest,3,215022.0
bfgp,south,1,2947.0
bfgr,south,1,2734.0
bfip,south,1,16592.0
bfir,south,1,19364.0
bfjb,south,3,165356.0
bfjd,south,1,1355.0
bfmm,south,2,34855.0
bfmt,south,3,369363.0
bfqy,west,4,5505000.0
bfuw,south,1,626.0
bfwg,west,4,5985212.0
bfws,midwest,3,655201.0
bfys,south,3,132939.0
bfyz,midwest,4,1288350.0
bfzl,west,4,1712684.0
bfzp,west,4,1849457.0
bgao,midwest,1,171.0
bgbl,west,4,2474705.0
bgdz,south,1,4772.0
bgfm,south,3,243983.0
bgfo,west,4,1439138.0
bgfx,south,2,87137.0
bggk,south,1,14217.0
bggp,northeast,3,169733.0
bggq,south,2,20572.0
bgil,south,2,75133.0
bgin,south,1,5337.0
bgjs,west,3,399252.5
bgkq,south,1,9875.0
bgld,midwest,3,261810.0
bgnf,midwest,4,2966895.0
bgpo,south,1,3896.0
bgth,northeast,3,521979.5302013423
bgum,south,1,7657.0
bgvy,south,1,5809.0
bgwk,south,2,71162.0
bgwq,west,4,2331419.0
bgwz,west,4,3740000.0
bgxc,south,1,14746.0
bgxp,midwest,4,1845900.0
bgyb,south,1,15906.0
bhcg,south,1,3340.0
bhch,south,1,871.0
bhcw,midwest,3,101430.0
bhcx,south,2,71162.0
bhdi,south,1,9682.0
bhdp,south,1,2324.0
bhfi,south,1,3873.0
bhfo,south,1,5809.0
bhge,midwest,1,19815.0
bhgg,south,2,71377.0
bhgx,midwest,3,193786.0
bhgz,south,1,14259.0
bhhc,midwest,2,29295.0
bhhg,west,4,5790000.0
bhhr,south,2,33257.0
bhii,south,1,1936.0
bhil,west,4,2959923.5
bhiw,south,3,104564.0
bhkt,south,1,3961.0
bhlt,west,4,5457500.0
bhml,south,1,10402.0
bhoe,south,1,465.0
bhqp,midwest,4,2673675.0
bhqz,south,1,1370.0
bhrf,west,4,6892500.0
bhvb,south,2,27593.0
bhwl,south,3,162020.0
bhww,south,1,15427.0
bhxn,south,1,484.0
bhyk,midwest,1,345.497493333333
bhze,south,1,1452.0
bhzj,midwest,2,20076.0
bibc,south,1,342.0
bidv,south,2,26933.0
bien,midwest,4,1789750.0
bifn,south,3,214937.0
bigg,west,4,4868232.5
biic,midwest,1,522.5615873015873
bijv,south,1,1056.0
bils,south,2,51846.0
bilt,west,1,331.0
bimj,northeast,1,230.1020408163265
bine,northeast,1,285.6255221745348
bios,west,3,722708.0
biow,midwest,3,272160.0
biqu,south,3,134196.0
birw,west,4,6415000.0
bisp,west,4,2930615.0
bito,south,1,683.0
bitp,midwest,4,2819250.0
bitr,west,4,5060366.0
bius,south,1,1394.0
bivi,west,4,2461679.0
bivj,south,3,145712.0
bivo,south,1,984.0
biwq,west,4,4936619.0
bixl,south,1,1089.0
bixm,midwest,3,270270.0
bizy,south,1,670.0
bjaf,west,4,3230213.0
bjaz,south,2,23236.0
bjbr,northeast,1,276.1224489795918
bjen,south,1,6051.0
bjfv,west,4,6222500.0
bjgf,midwest,3,580127.0
bjgg,south,1,299.0
bjij,south,1,2905.0
bjim,midwest,3,204750.0
bjjc,northeast,1,0.0
bjjg,south,2,77939.0
bjlx,south,2,60996.0
bjmm,south,1,12647.0
bjnr,west,4,6092500.0
bjrx,west,4,2855000.0
bjuf,west,4,5327500.0
bjuh,west,3,839942.0
bjvi,south,2,36670.0
bjyr,south,2,32241.0
bjzf,south,1,2905.0
bkap,south,1,19917.0
bkdu,midwest,2,87570.0
bked,south,2,41148.0
bkee,south,2,32676.0
bkfk,south,2,22765.0
bkft,south,2,60166.0
bkgx,south,1,4030.0
bkhf,south,2,45505.0
bkik,south,1,12707.0
bkkp,south,2,97750.0
bkla,south,3,170954.0
bktg,west,4,6585000.0
bktj,south,1,1499.0
bktz,south,1,14523.0
bkud,south,1,5486.0
bkuj,south,1,9336.0
bkum,south,1,968.0
bkut,south,1,2817.0
bkvm,west,4,4722500.0
bkvu,midwest,3,322992.0
bkvw,midwest,3,653940.0
bkwa,south,1,232.0
bkyo,south,3,187833.0
bkzy,south,1,508.0
blav,northeast,1,0.0
blca,south,1,19315.0
bleb,south,1,2033.0
bleo,west,4,2545300.0
bles,west,4,2422601.0
blfc,south,2,99723.0
blff,west,4,6355000.0
blfs,midwest,3,148126.0
blft,midwest,3,158450.0
blfu,midwest,2,52605.0
blhb,south,1,436.0
bljj,south,2,29046.0
blkf,west,4,6170000.0
bllk,south,1,7988.0
blll,west,3,556626.5
blnj,south,2,29046.0
blpr,west,4,1771301.0
blqs,south,1,18153.0
blsa,south,3,476056.0
blso,west,4,1419599.0
blvu,south,1,145.0
blvv,south,1,4357.0
blww,west,4,2757500.0
blxo,south,1,2630.0
blzf,south,2,24274.0
bmab,northeast,1,363.91838006230495
bmah,west,4,2331419.0
bmbi,south,2,81328.0
bmcc,south,2,26923.0
bmcv,south,2,23817.0
bmdy,south,1,6043.0
bmfz,south,1,2512.0
bmgu,south,1,10892.0
bmjg,midwest,2,84570.0
bmkq,midwest,3,357516.0
bmkt,west,4,3560000.0
bmli,south,3,118961.0
bmnd,northeast,1,1295.977011494253
bmpv,south,1,2178.0
bmqd,south,1,18196.0
bmqu,south,1,254.0
bmqv,northeast,2,25267.0
bmsm,south,1,3559.99994277954
bmso,south,2,49842.0
bmud,south,1,871.0
bmup,south,2,33257.0
bmwj,south,1,5010.0
bmwl,west,4,6027500.0
bmxo,south,1,1012.0
bmyd,south,1,7503.0
bmzi,midwest,3,391476.0
bnan,south,1,908.0
bnav,west,4,2930615.0
bndi,south,3,108437.0
bndm,west,4,6227500.0
bndt,west,4,6425000.0
bnfz,south,1,10393.0
bngb,northeast,2,57067.0
bniw,south,1,2490.0
bnjd,west,3,839942.0
bnjx,south,1,7261.0
bnky,south,1,1670.0
bnlk,south,2,97738.0
bnne,south,2,33312.0
bnnt,west,4,1540089.5
bnnx,south,1,894.0
bnnz,south,2,86411.0
bnof,south,4,1050900.0
bnsb,midwest,2,93240.0
bntg,midwest,3,232470.0
bnvh,south,2,66442.0
bnvp,west,2,32330.0
bnvz,south,1,9682.0
bnxi,west,4,2537500.0
bnxj,west,4,2083925.0
bnzn,south,1,2251.0
boch,northeast,2,35827.61557177616
bocw,midwest,2,31815.0
bohh,south,2,23963.0
bois,midwest,3,263340.0
boje,midwest,2,90143.0
bojy,northeast,1,60.37483266398929
bolj,south,1,2324.0
bolr,south,1,157.0
bolx,south,3,156846.0
boow,south,1,4685.0
