uid,latitude,longitude,date,split
aefb,36.03,-78.6825675348135,2020-06-01,train
aeib,35.7043519078845,-79.1666362079988,2014-08-13,train
aeid,39.16522,-96.91105,2016-09-26,train
aejc,42.021242,-78.95833,2017-10-04,train
aekm,35.65436,-79.012160562122,2016-08-24,train
aelv,35.79,-79.0332635644341,2020-06-10,train
aemv,39.3092,-121.595,2014-11-18,train
aepe,36.35,-79.1139891118548,2019-11-20,test
aepl,35.646518198863,-79.2740560576897,2018-08-09,train
aeqh,37.6756,-121.264,2016-11-14,train
aetj,35.9131897664946,-79.1834196841548,2014-06-10,train
aeud,34.73,-76.73,2019-01-16,test
aeuj,36.00756,-78.9711478551039,2013-08-12,train
aeus,37.9893,-121.463,2020-03-17,train
aexi,35.7112451111227,-79.1538328296877,2016-09-15,train
aexm,34.4395,-119.854,2019-05-22,test
aeyg,34.9454,-120.417,2016-04-20,test
aeyz,35.62967110369,-79.3053477120175,2016-06-21,train
aezm,35.5621,-119.151,2017-02-01,test
afas,35.6356594076614,-79.2942250860716,2017-09-20,train
afbi,38.84259,-85.82827,2017-08-10,train
afbl,35.6782695172535,-79.2150814232298,2018-08-09,train
afcm,41.99847,-78.95185,2019-08-19,train
afef,42.516667,-79.893333,2018-04-08,test
afeh,35.51,-79.041222421222,2021-08-02,train
afek,41.992305,-78.929219,2019-09-24,train
afel,37.8189,-121.358,2019-07-16,train
affc,35.98,-78.7964088670211,2018-10-25,train
afgc,37.3978,-120.96,2014-12-03,train
afgk,47.62155,-89.463167,2016-04-17,test
afgy,35.7062947798397,-79.163027533803,2016-05-25,train
afhn,35.6713763140154,-79.2278848015409,2015-04-22,train
afhu,35.98,-78.8292190326355,2020-11-17,train
afhv,35.8701762875874,-78.8391615070641,2018-02-21,train
afhy,34.9454,-120.417,2019-05-21,test
afip,35.6875846567645,-79.1977795606473,2021-04-28,train
afiq,35.7003863199212,-79.1740018580696,2013-07-30,train
afix,38.9695,-94.7582,2021-10-11,test
afjc,35.7228224988008,-79.1323290861923,2013-05-16,train
afje,41.80086,-73.24929,2020-08-25,train
afjf,36.055,-78.763,2013-01-14,train
afjv,34.446,-119.876,2018-09-25,test
afke,41.3326,-75.88683,2021-08-19,train
aflh,43.596667,-78.801667,2014-04-25,train
afnd,35.976,-78.7489335516245,2015-09-22,train
afos,35.8639338982297,-78.7892005730604,2015-03-24,train
afpq,36.7254,-121.73,2019-01-18,test
afpw,36.6291,-121.688,2018-04-25,test
afsc,36.01,-78.9629453137003,2018-08-22,train
afsi,35.862567405037,-78.7782638511889,2014-06-23,train
afuh,39.20984,-96.96101,2013-09-03,train
afum,35.7056560274161,-79.1642139472372,2016-08-10,train
afvi,35.6621676332416,-79.2449889285511,2019-09-04,train
afvu,36.055,-78.763,2014-04-22,train
afwi,38.2104,-121.262,2017-02-28,train
afyc,38.1688,-121.47,2021-08-11,train
afzm,35.6955956767441,-79.1828999588263,2015-12-07,train
agbg,36.9425,-121.445,2021-09-28,test
agbl,36.17,-79.055558250219,2020-06-23,train
agca,36.31,-79.1153732608614,2020-06-01,test
agcl,40.48477,-78.27506,2021-11-08,test
agcm,36.02,-76.31,2017-07-19,test
agdh,37.6667,-120.898,2018-11-07,train
agdv,35.1117,-118.615,2015-09-15,test
agem,35.6391193166227,-79.2877986799695,2014-11-25,train
aggt,42.416667,-79.8,2016-08-12,test
aggu,43.516667,-79.08,2016-04-08,train
aggy,41.3305639294444,-85.3836083333333,2021-08-17,train
aghh,41.95,-82.686667,2016-04-04,test
aghm,35.6677301022639,-79.2346572448946,2016-09-20,train
agim,35.742,-79.2035531948727,2015-05-20,train
agis,47.47517,-88.00176,2017-07-18,test
agix,35.68225,-79.07802,2014-10-08,train
agjr,35.6992685031799,-79.1760780815795,2014-04-14,train
agku,47.370167,-90.851833,2016-04-18,test
aglm,38.785,-121.653,2014-08-19,train
agmv,36.1856,-104.8038,2016-05-03,train
agpk,35.7229555722224,-79.1320819167268,2018-08-27,train
agqj,42.733333,-87.416667,2019-04-03,train
agqw,36.045,-79.0916449921768,2013-06-27,train
agrt,36.11,-78.9060246475965,2018-08-27,train
agsx,36.03,-78.72,2019-03-20,train
agto,35.61133,-78.978107587204,2016-07-22,train
agtu,35.68836,-78.6997183032029,2016-08-31,train
aguh,38.51613412,-95.70697032,2016-07-18,test
agvj,41.702596,-85.022696,2020-07-06,train
agwh,35.6591335592294,-79.2506243923637,2021-05-24,train
agwi,34.53937,-92.27375,2017-06-07,train
agxc,35.98,-78.8326988986855,2021-04-20,train
agxe,36.028,-78.716,2013-02-27,train
agxq,40.954436,-81.12694,2020-10-07,test
ahcm,42.027378,-78.967089,2019-10-25,train
ahdy,33.4742,-117.138,2016-05-18,test
ahek,41.493,-71.979,2019-08-01,test
aheu,35.7149977816115,-79.1468626507616,2016-07-27,train
ahez,35.8670085079133,-78.8138081972712,2016-06-07,train
ahfv,38.7605000178019,-75.2028333346049,2020-11-11,train
ahgg,35.48,-76.82,2018-05-03,test
ahgi,38.99841,-95.747367,2018-07-02,test
ahgo,36.35,-79.1138408101755,2019-11-20,test
ahgu,41.707665,-73.382964,2017-08-17,train
ahhm,39.264159,-79.951664,2017-07-25,test
ahhw,37.2583,-120.475,2017-08-15,train
ahjj,35.8837791061876,-78.9480316020574,2017-05-17,train
ahkg,35.8968229048454,-79.0524275835578,2015-10-12,train
ahnr,35.6630193031397,-79.2434070439721,2019-05-16,train
ahpj,35.9056740539346,-79.1232677138617,2019-11-14,train
ahpn,37.8817,-121.249,2018-07-17,train
ahrn,35.6833263072738,-79.2056889835422,2015-10-12,train
ahse,43.056389,-86.646389,2014-04-18,train
ahsh,35.6310816819588,-79.3027277156836,2015-07-07,train
ahsi,39.21155,-97.00559,2016-08-01,train
ahsm,36.17911,-79.0536303283883,2013-05-30,train
ahst,35.48,-76.82,2018-11-29,test
ahta,36.17,-79.0559537213637,2020-08-25,train
ahtt,39.1853,-121.704,2014-07-16,train
ahuv,40.7201033333333,-85.1058325,2021-06-21,train
ahvc,35.629085580635,-79.3064352576656,2015-01-27,train
ahvi,35.6809576003696,-79.2100886000275,2017-02-14,train
ahwi,37.4125,-120.759,2013-04-02,train
ahwu,34.4168,-119.544,2021-01-28,test
ahwv,35.64607,-79.0265771500434,2016-07-13,train
ahxa,41.497974,-80.458755,2016-08-24,test
ahya,33.2549,-117.295,2013-02-09,test
ahys,35.976,-78.7201003757815,2013-11-12,train
ahyx,36.0397,-106.8478,2014-09-22,train
aiap,35.6756878928747,-79.2198765108599,2020-01-09,train
aiby,38.7819903391667,-85.6982861111111,2021-08-24,train
aicl,35.6512023833028,-79.2653556925053,2016-01-27,train
aidb,35.64477,-80.254,2016-06-08,test
aids,32.8397,-117.024,2014-05-08,test
aidy,37.2953,-120.85,2017-08-08,train
aiga,45.136667,-82.983333,2016-03-29,train
aigc,35.6832730779052,-79.2057878513284,2015-11-12,train
aihm,36.9767,-121.51,2018-04-23,test
aihx,35.8695862109814,-78.8344388317106,2017-09-20,train
aiii,40.32301,-79.47356,2021-08-25,test
aiiw,38.7040833155314,-75.0756833314896,2019-07-24,train
aiix,35.8647724281434,-78.7959117432997,2015-07-07,train
aijb,35.878530530061,-78.9060246475965,2015-05-06,train
aijp,43.133333,-87.0,2017-03-27,train
aika,37.6003,-121.224,2019-08-13,train
aimy,34.4384,-119.906,2020-04-22,test
ainj,35.7087699454812,-79.1584301817454,2021-06-15,train
aipr,41.309434,-80.461686,2015-08-05,test
aipy,38.3068,-121.693,2019-12-04,train
aiqi,34.941,-79.1023227130849,2016-08-16,test
aiqq,35.8585300387858,-78.7459508092959,2018-08-09,train
aisa,37.2583,-120.475,2016-04-12,train
aivu,38.31806,-96.99139,2017-08-28,train
aiwo,33.0426,-117.076,2015-01-08,test
aiwq,41.890646,-78.925275,2017-06-15,train
aiwt,35.6992152738112,-79.1761769493657,2014-05-05,train
aixa,37.7705,-121.292,2019-02-05,train
aixq,35.12,-78.7270601078816,2019-08-12,test
aiyp,35.794,-79.004,2013-10-17,train
aize,38.259,-121.668,2019-02-05,train
ajbb,36.045,-79.0916944260699,2013-06-27,train
ajea,35.8825989529757,-78.9385862513502,2016-10-18,train
ajev,48.2295,-88.5455,2016-08-25,test
ajfd,35.8717601774244,-78.8518381619606,2019-01-15,train
ajfp,43.88,-76.9994,2018-08-15,test
ajft,34.4384,-119.906,2018-01-11,test
ajfv,38.28046862,-94.7337782,2018-09-17,test
ajfx,35.8601760419497,-78.7591245879138,2013-06-27,train
ajgg,34.40442,-111.0025,2017-09-26,train
ajim,35.67,-79.0488846746514,2020-05-14,train
ajjj,37.2141,-120.561,2014-04-08,train
ajkf,39.88423,-76.37506,2017-08-30,train
ajkz,35.95,-76.61,2020-07-28,test
ajlw,35.873250897271,-78.8637691312749,2019-10-17,train
ajmc,39.07775,-96.9059,2015-09-08,train
ajme,37.61429993,-97.62981051,2016-08-08,train
ajnn,35.6722013692293,-79.226352350855,2014-08-25,train
ajoh,38.0739,-121.212,2017-02-28,train
ajqf,34.9552,-120.487,2021-10-04,test
ajqv,41.56467,-79.9455,2019-08-22,test
ajru,39.474744,-86.898353,2021-06-14,train
ajrw,36.12,-78.9119901322537,2018-05-21,train
ajsm,35.6738514796568,-79.2232874494833,2020-12-10,train
ajsq,35.976,-78.722337432528,2014-01-14,train
ajuc,32.04667,-96.75054,2017-09-13,train
ajuj,42.733333,-87.0,2013-03-28,train
ajvc,34.9552,-120.487,2021-01-29,test
ajvk,38.0601,-121.499,2013-08-20,train
ajvu,35.794,-79.004,2013-09-18,train
ajwh,35.7019565862959,-79.1710852583771,2019-07-02,train
ajxf,39.82640667,-95.52873464,2017-10-30,test
ajzm,48.72519,-116.1086,2017-08-03,test
akao,35.4265,-118.832,2019-10-15,test
akba,38.2361,-121.419,2015-09-23,train
akbi,35.9132208231581,-79.1836682460155,2014-06-10,train
akbk,38.51613412,-95.70697032,2017-10-02,test
akbz,42.038186,-78.908886,2014-08-14,train
akcy,41.868925,-73.0977,2018-09-27,train
akgs,47.606167,-86.818833,2019-08-25,test
akgu,35.2,-79.1051898788843,2018-08-13,train
akhe,39.309992,-80.034025,2017-07-26,test
akjw,41.702596,-85.022696,2017-07-17,train
akka,36.33,-79.1159170336854,2020-06-24,test
aklk,35.79,-79.0284190429109,2019-02-19,train
aknj,35.33794,-79.045473736028,2015-07-21,train
akpm,35.8584679254588,-78.7454536855745,2015-11-12,train
akqd,44.736667,-86.721667,2017-03-28,train
akqj,36.17,-79.0551627790742,2020-05-27,train
akqp,36.532781,-105.236671,2015-04-09,train
akrh,35.8616046484694,-78.7705584335067,2013-12-05,train
akst,36.346,-79.1128026984206,2019-06-13,test
aksu,37.9495,-121.182,2019-05-21,train
akvu,35.6855619407565,-79.2015365365224,2015-01-27,train
akwt,39.7469388888889,-87.0759805555555,2019-08-19,train
akww,37.5582,-121.164,2015-03-10,train
akxc,35.888686059016,-78.9873043760504,2019-09-14,train
akxm,35.036,-79.118883067271,2021-08-16,test
akzy,37.6003,-121.224,2018-05-08,train
albx,37.6173,-122.074,2017-07-13,train
aldv,35.74,-79.02,2019-04-10,train
aler,42.081667,-81.011667,2019-08-10,test
alez,42.416667,-79.8,2013-08-11,test
alfc,40.968788,-81.119867,2017-06-27,test
alfh,45.75,-83.916667,2013-03-29,train
algg,39.74826,-78.67698,2020-09-14,test
algi,35.02,-83.79,2019-08-22,test
algu,41.285686,-80.361664,2016-07-20,test
alhz,35.48,-76.82,2017-03-07,test
alif,38.3677,-121.521,2016-10-18,train
aliv,38.37080661,-98.79520846,2017-10-16,train
aljj,40.3155,-96.9964,2017-09-20,train
aljv,39.21155,-97.00559,2021-10-11,train
aljz,35.6722812132822,-79.2262040491758,2014-08-25,train
allm,34.85,-78.83,2019-06-27,test
almt,41.843527,-78.957332,2013-08-20,train
alpb,38.36472,-97.10194,2017-07-17,train
alpl,35.6440430332214,-79.2786534097473,2019-10-17,train
alqd,38.7078250249227,-75.0808666706085,2018-08-01,train
alqp,37.4419,-121.003,2018-06-12,train
alqs,39.21067,-96.97298,2016-08-15,train
alrk,33.513,-117.269,2016-01-21,test
alsf,35.6891549231392,-79.1948629609548,2020-03-11,train
altb,36.15,-79.1069694990356,2020-09-23,train
alvh,36.7025,-121.709,2013-12-11,test
alvv,35.794,-79.0163077391032,2015-09-24,train
alwg,38.2104,-121.262,2017-05-16,train
alwh,36.04,-76.61,2021-09-30,test
alwn,35.7224232785361,-79.1330705945887,2013-09-19,train
alwp,44.87302,-93.556776,2013-08-19,train
alxm,37.6106,-121.229,2014-08-12,train
alxr,35.7237806274363,-79.1305494660409,2013-06-19,train
alxv,35.976,-78.7096607776315,2013-03-20,train
alyc,35.84,-79.0611442801385,2020-09-09,train
alyf,38.307,-121.794,2015-05-19,train
amai,35.6848433442799,-79.2028712516359,2015-05-20,train
amak,38.307,-121.794,2019-07-16,train
amap,35.6887024735058,-79.1957033371374,2020-06-10,train
amat,36.9893,-121.533,2018-04-23,test
ambi,42.516667,-79.893333,2014-08-15,test
amcm,35.6336633063376,-79.2979326280536,2015-09-09,train
amcu,35.6771517005122,-79.2171576467397,2019-05-16,train
amfl,35.8603002686036,-78.7601188353567,2013-07-10,train
amgv,42.027378,-78.967089,2014-10-27,train
amjb,48.17831,-91.98468,2017-08-24,test
amjd,35.6316938196982,-79.3015907361425,2015-03-24,train
amjh,41.977778,-81.756944,2015-08-11,test
amjn,41.995,-82.45,2019-04-28,test
amks,38.9725,-94.67293,2021-10-25,test
amkz,35.6892613818765,-79.1946652253825,2020-01-09,train
amma,39.1766,-122.189,2017-12-27,train
ammk,36.17,-79.0521473115956,2018-06-28,train
ammz,33.4779,-117.142,2017-05-17,test
amol,35.742,-79.23387774188,2016-07-19,train
amos,36.7085,-121.749,2021-04-29,test
amow,35.64607,-79.0230972839934,2016-06-08,train
amqv,43.89,-82.056667,2014-04-22,train
amrx,38.2104,-121.262,2016-02-18,train
amsp,44.868638,-93.524033,2013-07-22,train
amtf,36.00756,-78.9664251797504,2013-06-11,train
amtr,34.41,-78.3,2019-05-20,test
amuf,35.6673574966835,-79.2353493193979,2016-11-21,train
amuw,38.06284,-100.05499,2013-06-10,train
amwf,47.62155,-89.463167,2015-08-28,test
amwp,35.7218643701654,-79.1341087063436,2014-07-08,train
amww,35.6820221877423,-79.2081112443037,2016-07-19,train
amwx,35.64607,-79.0196174179434,2016-05-25,train
amxb,39.263048,-80.00583,2017-07-25,test
amyy,35.6712964699625,-79.2280331032202,2015-04-22,train
amzo,48.0825,-89.252383,2015-05-10,test
anbo,35.742,-79.2057902516191,2015-06-10,train
andt,41.840964,-79.009164,2015-09-29,train
anei,47.35085,-121.9925,2017-09-07,train
anfv,35.74,-79.02,2017-11-15,train
angt,35.71973519542,-79.1380634177911,2013-07-22,train
anjy,42.253333,-81.106667,2016-08-12,test
anke,37.4341,-122.218,2015-07-07,train
anlm,35.6472101806552,-79.2727707764693,2018-03-22,train
anlo,43.58,-77.2,2018-08-15,test
anlp,36.1606,-79.0982196999582,2015-07-27,train
anmf,34.73475,-77.44025,2015-09-14,test
anmy,42.383333,-87.0,2019-04-04,train
annu,35.61,-78.9554884578789,2018-08-28,train
anra,43.89,-82.056667,2015-08-09,train
anrk,35.7222902051145,-79.1333177640541,2018-05-21,train
anrt,35.794,-79.0112654820077,2014-10-08,train
antr,36.03,-78.6940013804064,2021-04-20,train
anuc,37.5582,-121.164,2017-08-08,train
anuf,39.03917524,-95.69083603,2019-09-30,test
anuh,35.67294658039,-79.2249682018484,2021-08-05,train
anvc,36.045,-79.0924853683594,2013-09-25,train
anvh,37.0062,-120.6,2021-03-19,test
anvn,34.9354,-120.356,2017-01-09,test
anvp,37.2616,-120.906,2020-07-14,train
anwq,35.8698346642892,-78.8364273265963,2017-11-15,train
anwv,36.3,-80.04,2019-09-30,test
anxo,36.54,-79.065692198303,2019-09-19,test
anxr,45.41361,-84.80677,2017-07-24,train
anyq,35.6525331175187,-79.2628839978507,2015-07-07,train
anzf,36.177,-79.0541246673193,2013-07-31,train
aoab,47.606167,-86.818833,2017-04-17,test
aobs,37.9792,-121.57,2016-12-16,train
aobu,37.1145,-120.89,2016-05-10,train
aoce,36.16894,-79.0711299265432,2013-09-05,train
aoco,35.6746765348707,-79.2217549987974,2020-07-15,train
aocw,39.07775,-96.9059,2016-08-08,train
aofk,35.8780957367724,-78.9025447815465,2015-03-24,train
aogc,35.9150531663029,-79.1983333957977,2015-01-27,train
aogk,41.70051,-80.10148,2020-07-29,test
aogm,40.11461,-75.8596,2019-08-15,train
aogy,35.0228,-120.586,2013-09-17,test
aogz,47.370167,-90.851833,2019-05-04,test
aohi,35.647023877865,-79.2731168137209,2018-04-11,train
aohj,40.38382,-76.0402,2019-08-05,train
aohs,36.055,-78.763,2014-12-10,train
aoit,35.6709770937507,-79.2286263099373,2015-05-20,train
aojn,35.7201344156848,-79.1373219093947,2013-05-22,train
aojo,39.21067,-96.97298,2015-08-03,train
aojs,35.7186173786787,-79.140139641301,2019-06-01,train
aoko,36.03,-78.6875387720278,2020-09-16,train
aolc,35.909059230253,-79.1503609566796,2021-07-12,train
aold,36.14,-76.75,2019-09-12,test
aolg,41.69417,-80.08583,2020-08-31,test
aoln,35.6504039427733,-79.2668387092981,2016-05-24,train
aomf,38.307,-121.794,2014-02-10,train
aony,35.8720707440591,-78.8543237805678,2019-05-16,train
aoom,29.84254,-96.76571,2017-09-20,train
aoon,35.8957048649605,-79.0434793565721,2015-07-07,train
aopf,35.6882500238724,-79.19654371332,2020-09-24,train
aopl,35.6651750925695,-79.2394028986316,2017-12-06,train
aoqa,37.65556,-98.26099,2017-06-14,test
aoqj,38.4571,-122.631,2014-03-26,test
aoqv,39.79219,-99.97105,2016-06-13,train
aosf,34.9354,-120.356,2014-02-28,test
aosm,35.8869468858617,-78.9733849118504,2018-12-06,train
aosw,42.253333,-81.106667,2019-04-22,test
aoth,35.6479021624475,-79.2714854952489,2017-10-18,train
aotx,35.9130034265138,-79.1819283129905,2014-04-14,train
aowb,35.6928809789437,-79.1879422159218,2017-07-20,train
aoxm,41.512172,-73.476168,2017-08-17,train
aozh,35.868375001106,-78.8247449191427,2017-01-24,train
aozi,35.65436,-79.0134033714255,2016-08-31,train
aozp,35.8669463945864,-78.8133110735497,2016-06-07,train
aozr,38.4831216812134,-75.1296916643778,2020-10-13,train
apak,35.913810899764,-79.1883909213691,2014-07-16,train
apbg,36.39,-78.8570579610356,2019-08-28,test
apbq,35.6355529489242,-79.294422821644,2017-10-18,train
apcu,37.2639,-120.906,2020-08-17,train
apdc,38.1602,-121.206,2015-03-17,train
apdg,41.1883,-123.7055,2018-08-22,train
apec,37.3294,-122.086,2019-06-03,train
aped,36.8754,-121.561,2020-04-28,test
apej,35.7211990030575,-79.135344553671,2018-06-25,train
apiz,35.7189633695748,-79.1394970006908,2018-07-16,train
aplj,35.64607,-79.0228487221327,2016-06-08,train
apms,40.11372,-79.52797,2021-08-30,test
apnm,35.7174197178844,-79.1423641664901,2019-06-01,train
apnz,39.80482,-99.93915,2019-07-22,train
apob,39.5863833333333,-84.9948666666667,2020-05-19,test
apoh,35.6660533771519,-79.2377715801595,2017-07-20,train
apoq,38.2996,-121.383,2019-06-18,train
apou,37.3205,-122.061,2013-07-09,train
apph,35.98,-78.7954146195783,2018-08-16,train
apqc,35.98,-78.7914376298068,2018-06-27,train
apre,35.443,-78.8722202345393,2014-08-12,train
aprj,35.648700602977,-79.2700024784561,2017-03-21,train
aprx,35.0228,-120.586,2021-01-27,test
apry,38.814,-86.0806397222222,2021-08-23,train
apsd,35.8580952454972,-78.7424709432459,2014-07-15,train
apsf,39.16522,-96.91105,2017-07-05,train
apsn,35.6760871131395,-79.2191350024635,2019-10-17,train
apsz,37.2639,-120.906,2021-05-20,train
aptf,35.0164,-120.586,2020-09-22,test
apuh,35.6568979257467,-79.2547768393835,2013-07-30,train
apuu,37.82516,-99.919103,2021-10-25,train
apux,37.9718,-121.374,2020-02-12,train
apuy,35.51,-79.0959457408759,2017-09-28,train
apva,35.976,-78.7248230511351,2014-03-27,train
apwb,35.8888723989969,-78.9887957472147,2019-10-17,train
apwn,35.794,-79.0104745397182,2014-08-05,train
apwp,34.73,-76.73,2019-09-19,test
